learning_rate/pg1,learning_rate/pg2,step,train_mention_loss,train_coref_loss,train_entity_loss,train_rel_loss,train_loss,epoch,valid_f1,mention_prec_micro,mention_rec_micro,mention_f1_micro,mention_prec_macro,mention_rec_macro,mention_f1_macro,coref_prec_micro,coref_rec_micro,coref_f1_micro,coref_prec_macro,coref_rec_macro,coref_f1_macro,entity_prec_micro,entity_rec_micro,entity_f1_micro,entity_prec_macro,entity_rec_macro,entity_f1_macro,rel_prec_micro,rel_rec_micro,rel_f1_micro,rel_prec_macro,rel_rec_macro,rel_f1_macro,rel_nec_prec_micro,rel_nec_rec_micro,rel_nec_f1_micro,rel_nec_prec_macro,rel_nec_rec_macro,rel_nec_f1_macro
,,31999,0.00016834257985465229,0.0,2.706014311115723e-05,0.0,0.00017510761972516775,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32559,,,,,,21,65.38461538461537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.114831081081081e-05,1.114831081081081e-05,32999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32999,0.00029868274577893317,0.0,1.2516966307885014e-06,2.3841855067985307e-07,0.00029923408874310553,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1486148648648649e-05,1.1486148648648649e-05,33999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,33999,0.0003540414909366518,0.0,8.225404599215835e-06,0.0,0.0003560978511814028,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34039,,,,,,22,62.531017369727046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1823986486486486e-05,1.1823986486486486e-05,34999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34999,6.533526175189763e-05,0.0,8.22537640488008e-06,8.940690463532519e-07,6.828567711636424e-05,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35519,,,,,,23,69.10112359550563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
